,City,Colors Reported,Shape Reported,State,Time,Date,Location
1798,Sarasota,,LIGHT,FL,12:00,1969-06-01,"Sarasota, FL"
1799,Barrington,,SPHERE,IL,12:09,1969-06-01,"Barrington, IL"
1800,Highwood,,DISK,MT,13:00,1969-06-01,"Highwood, MT"
1801,Oahu,,LIGHT,HI,14:00,1969-06-01,"Oahu, HI"
1802,Highwood,,DISK,MT,17:00,1969-06-01,"Highwood, MT"
1803,Falls Church,,OTHER,VA,18:45,1969-06-01,"Falls Church, VA"
1804,HWY 77,,,TX,21:00,1969-06-01,"HWY 77, TX"
1805,Lawrenceburg,,DISK,KY,21:00,1969-06-01,"Lawrenceburg, KY"
1806,Sausalito,,,CA,21:00,1969-06-01,"Sausalito, CA"
1807,Akron,,LIGHT,OH,22:00,1969-06-01,"Akron, OH"
1808,Athens,,RECTANGLE,NY,22:00,1969-06-01,"Athens, NY"
1809,Orangevale,ORANGE,,CA,23:00,1969-06-01,"Orangevale, CA"
1810,Philadelphia,,CIRCLE,MS,23:00,1969-06-01,"Philadelphia, MS"
1811,Chance,,DISK,MD,01:00,1969-06-04,"Chance, MD"
1812,Windsor,,DISK,SC,07:00,1969-06-05,"Windsor, SC"
1813,Portland,,DISK,OR,01:00,1969-06-10,"Portland, OR"
1814,North Wildwood,,TRIANGLE,NJ,18:30,1969-06-10,"North Wildwood, NJ"
1815,Whitmore Lake,,LIGHT,MI,22:00,1969-06-10,"Whitmore Lake, MI"
1816,Land O'Lakes,RED,DISK,FL,23:00,1969-06-14,"Land O'Lakes, FL"
1817,Islip,,OTHER,NY,06:00,1969-06-15,"Islip, NY"
1818,Grang junction colorado,,DISK,CO,07:00,1969-06-15,"Grang junction colorado, CO"
1819,Little Rock,,CYLINDER,AR,15:00,1969-06-15,"Little Rock, AR"
1820,Kent,,OTHER,WA,17:00,1969-06-15,"Kent, WA"
1821,Altoona,,OTHER,PA,19:00,1969-06-15,"Altoona, PA"
1822,Bryan,,TRIANGLE,TX,20:00,1969-06-15,"Bryan, TX"
1823,Fairfax,,OVAL,VA,23:50,1969-06-15,"Fairfax, VA"
1824,Ronkonkoma,,,NY,23:00,1969-06-21,"Ronkonkoma, NY"
1825,Moline,,,IL,00:00,1969-06-25,"Moline, IL"
1826,Fort Lauderdale,,OTHER,FL,21:30,1969-06-29,"Fort Lauderdale, FL"
1827,Kyle,,OVAL,TX,00:00,1969-06-30,"Kyle, TX"
1828,Westphalia,,EGG,IN,10:00,1969-06-30,"Westphalia, IN"
1829,Christmas Valley,,DISK,OR,12:00,1969-06-30,"Christmas Valley, OR"
1830,Holliston,,,MA,12:00,1969-06-30,"Holliston, MA"
1831,Detroit,,LIGHT,MI,15:00,1969-06-30,"Detroit, MI"
1832,Indianapolis,,DISK,IN,18:00,1969-06-30,"Indianapolis, IN"
1833,Bristol,,,CT,15:00,1969-07-01,"Bristol, CT"
1834,Issaquah,,DISK,WA,16:00,1969-07-01,"Issaquah, WA"
1835,Scottsdale,,,AZ,18:00,1969-07-01,"Scottsdale, AZ"
1836,Whittier,,DISK,CA,18:00,1969-07-01,"Whittier, CA"
1837,New York Mills,,DISK,MN,20:00,1969-07-01,"New York Mills, MN"
1838,Payson,YELLOW,DISK,AZ,20:00,1969-07-01,"Payson, AZ"
1839,Chambers County,,CIRCLE,AL,22:15,1969-07-01,"Chambers County, AL"
1840,Lakewood,,OTHER,CO,10:30,1969-07-04,"Lakewood, CO"
1841,Sunnyvale,,DISK,CA,11:15,1969-07-04,"Sunnyvale, CA"
1842,Cachuma Lake,,OTHER,CA,13:45,1969-07-04,"Cachuma Lake, CA"
1843,Jacksonville Beach,,OTHER,FL,20:00,1969-07-04,"Jacksonville Beach, FL"
1844,March AFB,,TRIANGLE,CA,10:30,1969-07-05,"March AFB, CA"
1845,Valdez,,DISK,AK,10:53,1969-07-05,"Valdez, AK"
1846,Fresno,,OTHER,CA,22:00,1969-07-07,"Fresno, CA"
1847,Brainerd,,TRIANGLE,MN,23:00,1969-07-07,"Brainerd, MN"
1848,Miami,,LIGHT,FL,23:30,1969-07-07,"Miami, FL"
1849,Salt Lake City,,CIRCLE,UT,12:00,1969-07-10,"Salt Lake City, UT"
1850,Chariton,,CIRCLE,IA,21:00,1969-07-10,"Chariton, IA"
1851,Upper Dublin,,SPHERE,PA,21:00,1969-07-10,"Upper Dublin, PA"
1852,Whitemarsh,,FIREBALL,PA,21:00,1969-07-11,"Whitemarsh, PA"
1853,Bridgeport,,CIGAR,NY,19:00,1969-07-14,"Bridgeport, NY"
1854,South Glens,,FLASH,NY,00:00,1969-07-15,"South Glens, NY"
1855,Geneseo,,,IL,01:00,1969-07-15,"Geneseo, IL"
1856,Enid,,,OK,02:00,1969-07-15,"Enid, OK"
1857,Wasco,,DISK,OR,09:00,1969-07-15,"Wasco, OR"
1858,Cape Canaveral,,SPHERE,FL,09:35,1969-07-15,"Cape Canaveral, FL"
1859,Champaign,,DISK,IL,14:00,1969-07-15,"Champaign, IL"
1860,Peoria,,DISK,IL,14:00,1969-07-15,"Peoria, IL"
1861,Fairfax,,DISK,CA,20:30,1969-07-15,"Fairfax, CA"
1862,Somerville,,LIGHT,OH,22:30,1969-07-15,"Somerville, OH"
1863,Burlington,,OTHER,WA,23:00,1969-07-15,"Burlington, WA"
1864,Hawley,ORANGE,CIRCLE,PA,00:00,1969-07-25,"Hawley, PA"
1865,Rocky Mount,,SPHERE,NC,21:45,1969-07-27,"Rocky Mount, NC"
1866,Akron,,CIRCLE,OH,13:00,1969-07-30,"Akron, OH"
1867,Summerville,,LIGHT,SC,20:00,1969-07-31,"Summerville, SC"
1868,Independence,,SPHERE,MO,03:00,1969-08-01,"Independence, MO"
1869,Ohio,,OTHER,OH,12:00,1969-08-01,"Ohio, OH"
1870,Dayton,,DISK,OH,17:30,1969-08-01,"Dayton, OH"
1871,Fort Lauderdale,GREEN,LIGHT,FL,20:30,1969-08-01,"Fort Lauderdale, FL"
1872,New Castle,,OVAL,PA,21:00,1969-08-01,"New Castle, PA"
1873,Minnetonka,,LIGHT,MN,22:00,1969-08-01,"Minnetonka, MN"
1874,North Haven,,DISK,CT,19:00,1969-08-05,"North Haven, CT"
1875,Barstow,,LIGHT,CA,00:00,1969-08-10,"Barstow, CA"
1876,Port Chester,,OTHER,NY,00:30,1969-08-13,"Port Chester, NY"
1877,,YELLOW,CIRCLE,AZ,01:00,1969-08-15,
1878,Baldwin City,,CIRCLE,KS,01:00,1969-08-15,"Baldwin City, KS"
1879,Johnstown,,TRIANGLE,PA,02:00,1969-08-15,"Johnstown, PA"
1880,Port Jefferson,,DISK,NY,12:00,1969-08-15,"Port Jefferson, NY"
1881,El Cajon,,OTHER,CA,19:00,1969-08-15,"El Cajon, CA"
1882,East Barre,,CYLINDER,VT,20:00,1969-08-15,"East Barre, VT"
1883,Rockford,,OTHER,IL,20:00,1969-08-15,"Rockford, IL"
1884,Biola,,CIGAR,CA,21:30,1969-08-15,"Biola, CA"
1885,Lamont,,FORMATION,CA,22:00,1969-08-15,"Lamont, CA"
1886,North Hollywood,ORANGE,SPHERE,CA,02:30,1969-08-17,"North Hollywood, CA"
1887,Enfield,,OVAL,ME,21:00,1969-08-27,"Enfield, ME"
1888,Walpole,,OVAL,MA,02:30,1969-09-01,"Walpole, MA"
1889,Austin,,SPHERE,TX,21:10,1969-09-09,"Austin, TX"
1890,Merced,,,CA,22:00,1969-09-15,"Merced, CA"
1891,Fairbanks,,CIGAR,AK,23:00,1969-09-20,"Fairbanks, AK"
1892,Raceland,,TRIANGLE,LA,11:15,1969-09-29,"Raceland, LA"
1893,San Francisco,,OVAL,CA,16:00,1969-10-01,"San Francisco, CA"
1894,Millington,,FORMATION,TN,21:15,1969-10-13,"Millington, TN"
1895,Memphis,,FORMATION,TN,22:00,1969-10-13,"Memphis, TN"
1896,Sharon,,OVAL,CT,00:00,1969-10-15,"Sharon, CT"
1897,Pearl,,CIGAR,MS,06:00,1969-10-15,"Pearl, MS"
1898,Portland,,CIGAR,OR,13:00,1969-10-15,"Portland, OR"
1899,Wilmington,,CIRCLE,DE,18:30,1969-10-15,"Wilmington, DE"
1900,Hurst,,DISK,TX,19:00,1969-10-15,"Hurst, TX"
1901,Miami,,VARIOUS,FL,19:00,1969-10-15,"Miami, FL"
1902,Exeter,,CIGAR,NH,21:00,1969-10-15,"Exeter, NH"
1903,Alpine,,DISK,AZ,23:30,1969-10-15,"Alpine, AZ"
1904,Erie,,CIRCLE,PA,06:00,1969-10-25,"Erie, PA"
1905,Fulton,,CIGAR,NY,21:00,1969-10-29,"Fulton, NY"
1906,Fulton,,CIGAR,NY,21:00,1969-10-30,"Fulton, NY"
1907,Fulton,,CIGAR,NY,21:00,1969-10-30,"Fulton, NY"
1908,Fulton,ORANGE,CIRCLE,NY,23:00,1969-10-31,"Fulton, NY"
1909,San Juan Capistrano,,,CA,07:00,1969-11-01,"San Juan Capistrano, CA"
1910,Fairbanks,,FORMATION,AK,19:30,1969-11-01,"Fairbanks, AK"
1911,Camp Pendleton,,LIGHT,CA,22:00,1969-11-01,"Camp Pendleton, CA"
1912,Hogans Camp Resort,,CIRCLE,CA,22:00,1969-11-01,"Hogans Camp Resort, CA"
1913,Buford,,DISK,GA,01:00,1969-11-05,"Buford, GA"
1914,San Jose,GREEN,LIGHT,CA,21:03,1969-11-13,"San Jose, CA"
1915,Kenai,,LIGHT,AK,17:00,1969-11-22,"Kenai, AK"
1916,Glenmore,,CIRCLE,LA,16:00,1969-12-15,"Glenmore, LA"
1917,Richmond,,CIRCLE,KY,23:00,1969-12-15,"Richmond, KY"
1918,Middletown,,FIREBALL,CT,15:00,1969-12-23,"Middletown, CT"
1919,Middletown,,CIRCLE,CT,18:00,1969-12-23,"Middletown, CT"
1920,Rogersville,RED,,AL,21:38,1969-12-25,"Rogersville, AL"
1921,Joplin,,,MO,02:00,1970-01-01,"Joplin, MO"
1922,Grand Rapids,,DISK,MI,12:00,1970-01-01,"Grand Rapids, MI"
1923,Candia,,LIGHT,NH,22:00,1970-01-05,"Candia, NH"
1924,Hemet,BLUE,CYLINDER,CA,21:00,1970-01-15,"Hemet, CA"
1925,Lake Wales,,OVAL,FL,19:00,1970-01-16,"Lake Wales, FL"
1926,Danville,,EGG,NH,15:00,1970-01-20,"Danville, NH"
1927,San Mateo,,SPHERE,CA,10:00,1970-01-22,"San Mateo, CA"
1928,Denver,ORANGE GREEN BLUE,CIGAR,CO,20:15,1970-01-24,"Denver, CO"
1929,Los Angeles,,DISK,CA,20:30,1970-02-10,"Los Angeles, CA"
1930,Colorado Springs,,,CO,00:00,1970-02-15,"Colorado Springs, CO"
1931,Lafayette,,DISK,CA,22:00,1970-02-15,"Lafayette, CA"
1932,Ft. Dix,,CIRCLE,NJ,05:00,1970-02-20,"Ft. Dix, NJ"
1933,Columbus,ORANGE,OTHER,GA,19:30,1970-02-20,"Columbus, GA"
1934,Cutler Ridge,,LIGHT,FL,22:00,1970-02-22,"Cutler Ridge, FL"
1935,St. Petersburg,,DISK,FL,00:00,1970-03-10,"St. Petersburg, FL"
1936,Monessen,,CYLINDER,PA,03:00,1970-03-12,"Monessen, PA"
1937,Fort Worth,,DISK,TX,16:00,1970-03-20,"Fort Worth, TX"
1938,Camp Pendleton,,DISK,CA,20:00,1970-03-21,"Camp Pendleton, CA"
1939,Slocomb,,CIRCLE,AL,21:00,1970-03-30,"Slocomb, AL"
1940,Interstate 40,,LIGHT,AZ,03:00,1970-04-15,"Interstate 40, AZ"
1941,East Aurora,,EGG,NY,21:30,1970-04-15,"East Aurora, NY"
1942,Evansville,,DISK,IN,14:00,1970-04-20,"Evansville, IN"
1943,New York City,,OTHER,NY,00:00,1970-05-01,"New York City, NY"
1944,New York City,,OTHER,NY,00:00,1970-05-01,"New York City, NY"
1945,Houston,,DISK,TX,03:00,1970-05-01,"Houston, TX"
1946,Oak Ridge,,DISK,TN,14:30,1970-05-01,"Oak Ridge, TN"
1947,La Grange,,CIRCLE,IL,15:30,1970-05-01,"La Grange, IL"
1948,New York City,,VARIOUS,NY,19:00,1970-05-05,"New York City, NY"
1949,Kansas City,GREEN,LIGHT,MO,16:00,1970-05-15,"Kansas City, MO"
1950,Vero Beach,,OVAL,FL,17:00,1970-05-16,"Vero Beach, FL"
1951,Tampa,ORANGE,OVAL,FL,02:00,1970-05-18,"Tampa, FL"
1952,Reading,,TRIANGLE,PA,23:30,1970-05-20,"Reading, PA"
1953,Ritter,,DISK,OR,00:00,1970-06-01,"Ritter, OR"
1954,Hopewell,,DISK,VA,01:00,1970-06-01,"Hopewell, VA"
1955,Burlingame,,DISK,CA,11:00,1970-06-01,"Burlingame, CA"
1956,Hilmar,,DISK,CA,15:00,1970-06-01,"Hilmar, CA"
1957,Rogers Dry Lake,,OVAL,CA,15:30,1970-06-01,"Rogers Dry Lake, CA"
1958,Columbus,,DISK,OH,17:00,1970-06-01,"Columbus, OH"
1959,Fulton,,CIRCLE,NY,17:00,1970-06-01,"Fulton, NY"
1960,Medford,,OVAL,MA,19:30,1970-06-01,"Medford, MA"
1961,New York City,,DISK,NY,19:30,1970-06-01,"New York City, NY"
1962,Westfield,,DISK,IA,22:00,1970-06-01,"Westfield, IA"
1963,Russia,,,OH,23:00,1970-06-01,"Russia, OH"
1964,Cleveland,,DISK,OH,00:50,1970-06-05,"Cleveland, OH"
1965,Downers Grove,,DISK,IL,00:00,1970-06-06,"Downers Grove, IL"
1966,Maui,,EGG,HI,03:00,1970-06-06,"Maui, HI"
1967,Not sure,,DISK,CA,10:00,1970-06-08,"Not sure, CA"
1968,Eureka,,OVAL,CA,15:00,1970-06-09,"Eureka, CA"
1969,Kalispell,,CIGAR,MT,13:00,1970-06-10,"Kalispell, MT"
1970,Princess Anne,ORANGE,OVAL,MD,17:00,1970-06-10,"Princess Anne, MD"
1971,Huntington,,,NY,19:00,1970-06-10,"Huntington, NY"
1972,West Ocean City,,LIGHT,MD,21:00,1970-06-10,"West Ocean City, MD"
1973,Geneseo,,,IL,02:00,1970-06-15,"Geneseo, IL"
1974,Houston,,DISK,TX,03:00,1970-06-15,"Houston, TX"
1975,Oxford,,OTHER,IN,11:00,1970-06-15,"Oxford, IN"
1976,Milford,,DISK,CT,13:00,1970-06-15,"Milford, CT"
1977,San Bruno Mountain Ranges,,DISK,CA,15:00,1970-06-15,"San Bruno Mountain Ranges, CA"
1978,Yorktown Heights,,LIGHT,NY,18:00,1970-06-15,"Yorktown Heights, NY"
1979,Chicago,,CIRCLE,IL,19:00,1970-06-15,"Chicago, IL"
1980,CT,,CIRCLE,RI,19:30,1970-06-15,"CT, RI"
1981,River Pines,,DISK,CA,20:00,1970-06-15,"River Pines, CA"
1982,Snowbank Lake,,DISK,MN,21:00,1970-06-15,"Snowbank Lake, MN"
1983,Malibu Canyon,,,CA,23:30,1970-06-15,"Malibu Canyon, CA"
1984,Whitmire,,CIRCLE,SC,00:00,1970-06-17,"Whitmire, SC"
1985,Cheyenne,,CIRCLE,WY,02:00,1970-06-20,"Cheyenne, WY"
1986,West Jefferson,ORANGE,SPHERE,NC,21:00,1970-06-23,"West Jefferson, NC"
1987,Poughkeepsie,,DISK,NY,15:00,1970-06-25,"Poughkeepsie, NY"
1988,Honolulu,,SPHERE,HI,01:00,1970-06-30,"Honolulu, HI"
1989,Kent,GREEN BLUE,DISK,WA,23:00,1970-06-30,"Kent, WA"
1990,San Antonio,,OVAL,TX,00:00,1970-07-01,"San Antonio, TX"
1991,Warren,,DISK,MI,19:00,1970-07-01,"Warren, MI"
1992,Lockport,,LIGHT,IL,23:30,1970-07-01,"Lockport, IL"
1993,McLean,,OTHER,VA,01:00,1970-07-07,"McLean, VA"
1994,La Habra,ORANGE,SPHERE,CA,20:00,1970-07-07,"La Habra, CA"
1995,Lansing,ORANGE,LIGHT,MI,20:30,1970-07-11,"Lansing, MI"
1996,Bemus Point,,OTHER,NY,02:00,1970-07-15,"Bemus Point, NY"
1997,Provo,,DISK,UT,11:00,1970-07-15,"Provo, UT"
1998,South Windsor,,OVAL,CT,19:00,1970-07-15,"South Windsor, CT"
1999,Indian Orchard,,,MA,20:00,1970-07-15,"Indian Orchard, MA"
2000,Tyre,,OTHER,NY,21:30,1970-07-15,"Tyre, NY"
2001,Roseville,,DISK,CA,22:00,1970-07-15,"Roseville, CA"
2002,Pittsfield,,LIGHT,MA,23:30,1970-07-15,"Pittsfield, MA"
2003,Pearl Harbor,,,HI,23:00,1970-07-16,"Pearl Harbor, HI"
2004,Custer,,LIGHT,MT,23:00,1970-07-18,"Custer, MT"
2005,Englewood,,SPHERE,FL,19:00,1970-07-20,"Englewood, FL"
2006,Kindred,,OVAL,ND,19:00,1970-07-20,"Kindred, ND"
2007,Levittown,,DISK,NY,21:15,1970-07-20,"Levittown, NY"
2008,Newark,,OVAL,NY,22:00,1970-07-20,"Newark, NY"
2009,Grand Blanc,,,MI,03:00,1970-07-22,"Grand Blanc, MI"
2010,Grand Blanc,,LIGHT,MI,03:00,1970-07-22,"Grand Blanc, MI"
2011,Stockton,,FIREBALL,CA,20:00,1970-07-22,"Stockton, CA"
2012,Cottonwood,,CYLINDER,AZ,23:30,1970-07-26,"Cottonwood, AZ"
2013,,,,NH,09:30,1970-08-01,
2014,Racine,,,HI,18:45,1970-08-01,"Racine, HI"
2015,Pompano Beach,,OTHER,FL,20:00,1970-08-01,"Pompano Beach, FL"
2016,Everton,,LIGHT,MO,21:00,1970-08-01,"Everton, MO"
2017,Palmdale,,CYLINDER,CA,21:30,1970-08-01,"Palmdale, CA"
2018,Ocean City,,DISK,NJ,00:30,1970-08-15,"Ocean City, NJ"
2019,Newport,,RECTANGLE,RI,12:00,1970-08-15,"Newport, RI"
2020,Seymore,,DISK,IL,20:00,1970-08-15,"Seymore, IL"
2021,Spring City,,FIREBALL,TN,01:00,1970-08-20,"Spring City, TN"
2022,Sebastian,,,FL,21:30,1970-08-22,"Sebastian, FL"
2023,Toms River,,SPHERE,NJ,23:50,1970-08-24,"Toms River, NJ"
2024,Brady,,CIRCLE,TX,09:30,1970-08-26,"Brady, TX"
2025,Brady,,DISK,TX,23:00,1970-08-26,"Brady, TX"
2026,Los Angeles,,DISK,CA,14:00,1970-09-01,"Los Angeles, CA"
2027,Pittsburgh,,DISK,PA,23:11,1970-09-07,"Pittsburgh, PA"
2028,Mundelin,,DISK,IL,11:00,1970-09-10,"Mundelin, IL"
2029,San Angelo,,LIGHT,TX,21:30,1970-09-10,"San Angelo, TX"
2030,Deer Creek,,DIAMOND,CA,07:30,1970-09-15,"Deer Creek, CA"
2031,Sturgeon,,,MO,20:00,1970-09-15,"Sturgeon, MO"
2032,Russellton,ORANGE,TRIANGLE,PA,20:00,1970-09-20,"Russellton, PA"
2033,Quincy,BLUE,,IL,18:30,1970-09-21,"Quincy, IL"
2034,Homestead,,LIGHT,FL,01:00,1970-09-22,"Homestead, FL"
2035,New York City,,SPHERE,NY,23:00,1970-09-22,"New York City, NY"
2036,New York City,,DISK,NY,16:00,1970-10-01,"New York City, NY"
2037,Bentonville,,OTHER,AR,17:30,1970-10-01,"Bentonville, AR"
2038,Summit Lake Indian Reservation,,OVAL,NV,19:00,1970-10-01,"Summit Lake Indian Reservation, NV"
2039,Tampa,,OTHER,FL,19:00,1970-10-01,"Tampa, FL"
2040,New York City,,DISK,NY,21:00,1970-10-01,"New York City, NY"
2041,Bellmore,,DISK,NY,16:00,1970-10-10,"Bellmore, NY"
2042,Manchester,,,KY,19:00,1970-10-10,"Manchester, KY"
2043,Westland,,,MI,10:00,1970-10-15,"Westland, MI"
2044,San Diego,,LIGHT,CA,23:00,1970-10-15,"San Diego, CA"
2045,Lindenhurst,,SPHERE,NY,19:50,1970-10-29,"Lindenhurst, NY"
2046,Corpus Christi,,OVAL,TX,03:00,1970-10-30,"Corpus Christi, TX"
2047,Rochester,RED,,NY,20:30,1970-11-01,"Rochester, NY"
2048,Beardstown,,LIGHT,IL,01:00,1970-11-05,"Beardstown, IL"
2049,Franklin,,SPHERE,TN,21:00,1970-11-07,"Franklin, TN"
2050,Columbus,RED,SPHERE,OH,20:00,1970-11-15,"Columbus, OH"
2051,Somerville,,DISK,NJ,21:00,1970-11-15,"Somerville, NJ"
2052,Union,,DISK,NJ,16:30,1970-12-01,"Union, NJ"
2053,Albuquerque,,OTHER,NM,20:00,1970-12-05,"Albuquerque, NM"
2054,Newton Centre,YELLOW,OTHER,MA,21:00,1970-12-15,"Newton Centre, MA"
2055,Meriden,,,CT,17:00,1970-12-20,"Meriden, CT"
2056,Lake  Wales,,OVAL,FL,19:00,1970-12-21,"Lake  Wales, FL"
2057,Colorado Springs,,RECTANGLE,CO,00:00,1970-12-24,"Colorado Springs, CO"
2058,Berlin,,CYLINDER,NJ,18:00,1970-12-24,"Berlin, NJ"
2059,Tewksbury,,,MA,22:00,1971-01-07,"Tewksbury, MA"
2060,Waverly Hall,,CIRCLE,GA,18:30,1971-02-01,"Waverly Hall, GA"
2061,Gorham,,LIGHT,NH,19:00,1971-02-01,"Gorham, NH"
2062,Conshohocken,,CIRCLE,PA,18:45,1971-02-05,"Conshohocken, PA"
2063,Havensville,,CIRCLE,KS,20:30,1971-02-05,"Havensville, KS"
2064,Everglades,,DISK,FL,00:00,1971-02-15,"Everglades, FL"
2065,Savannah,,CIRCLE,GA,19:00,1971-02-15,"Savannah, GA"
2066,Deltona,,VARIOUS,FL,21:00,1971-02-15,"Deltona, FL"
2067,Los Angeles,,OTHER,CA,18:00,1971-03-03,"Los Angeles, CA"
2068,Boulder Creek,,CIGAR,CA,21:00,1971-04-01,"Boulder Creek, CA"
2069,Santa Rosa,,LIGHT,CA,20:00,1971-04-03,"Santa Rosa, CA"
2070,Orlando,,DISK,FL,18:00,1971-04-05,"Orlando, FL"
2071,Talladega,,DISK,AL,19:00,1971-04-05,"Talladega, AL"
2072,Osceola,,DISK,IA,20:00,1971-04-06,"Osceola, IA"
2073,Carrolton,,CIRCLE,GA,23:00,1971-04-11,"Carrolton, GA"
2074,Dennis,,,MA,20:00,1971-04-14,"Dennis, MA"
2075,Rural New Mexico,,TRIANGLE,NM,03:15,1971-04-15,"Rural New Mexico, NM"
2076,Burlington,,CIRCLE,NC,15:30,1971-04-15,"Burlington, NC"
2077,Thomasville,,DISK,GA,21:00,1971-04-15,"Thomasville, GA"
2078,Lewisburg,,TRIANGLE,WV,02:00,1971-05-01,"Lewisburg, WV"
2079,Cherokee,,LIGHT,AL,19:00,1971-05-01,"Cherokee, AL"
2080,Molson,,CIRCLE,WA,18:00,1971-05-05,"Molson, WA"
2081,New Martinsville,,LIGHT,WV,20:00,1971-05-05,"New Martinsville, WV"
2082,Cowpen,,CONE,SC,16:00,1971-05-15,"Cowpen, SC"
2083,Irmo,,CIRCLE,SC,16:00,1971-05-20,"Irmo, SC"
2084,Kennett Square,,DISK,PA,18:00,1971-05-21,"Kennett Square, PA"
2085,Palos Verde,,SPHERE,CA,21:00,1971-05-29,"Palos Verde, CA"
2086,Holliday,,DISK,TX,01:00,1971-06-01,"Holliday, TX"
2087,Newport,,LIGHT,TN,01:00,1971-06-01,"Newport, TN"
2088,Westminster,,FLASH,CO,03:00,1971-06-01,"Westminster, CO"
2089,Albany,ORANGE,DISK,GA,08:00,1971-06-01,"Albany, GA"
2090,Vancouver,,DISK,WA,11:30,1971-06-01,"Vancouver, WA"
2091,Berne,,DISK,IN,14:00,1971-06-01,"Berne, IN"
2092,Forrest City,,DISK,AR,17:00,1971-06-01,"Forrest City, AR"
2093,Moultrie,,CIGAR,GA,21:00,1971-06-01,"Moultrie, GA"
2094,Victorville,,LIGHT,CA,21:00,1971-06-06,"Victorville, CA"
2095,Fremont,,CIRCLE,CA,09:00,1971-06-10,"Fremont, CA"
2096,Allen,,SPHERE,MD,10:00,1971-06-10,"Allen, MD"
2097,Goodman,,DISK,MO,11:00,1971-06-10,"Goodman, MO"
2098,Portage,,CIGAR,WI,15:00,1971-06-10,"Portage, WI"
2099,Spokane,,DISK,WA,15:50,1971-06-10,"Spokane, WA"
2100,Broken Bow,,TRIANGLE,OK,20:45,1971-06-14,"Broken Bow, OK"
2101,Sparta,,OVAL,NJ,00:45,1971-06-15,"Sparta, NJ"
2102,Brockton,,DISK,MA,11:00,1971-06-15,"Brockton, MA"
2103,Orange,,DISK,CA,12:00,1971-06-15,"Orange, CA"
2104,Chuluota,,TRIANGLE,FL,20:00,1971-06-15,"Chuluota, FL"
2105,Santa Clara,,DISK,CA,20:00,1971-06-15,"Santa Clara, CA"
2106,Karnes County,ORANGE,CIRCLE,TX,23:10,1971-06-15,"Karnes County, TX"
2107,Sunnyvale,,OTHER,CA,23:00,1971-06-27,"Sunnyvale, CA"
2108,Vandenberg AFB,,DISK,CA,01:00,1971-06-30,"Vandenberg AFB, CA"
2109,Yellowstone National Park,,EGG,WY,14:00,1971-06-30,"Yellowstone National Park, WY"
2110,Morrice,,DISK,MI,20:00,1971-06-30,"Morrice, MI"
2111,Ashland,,DISK,VA,21:00,1971-06-30,"Ashland, VA"
2112,Dayton,,OVAL,OH,22:00,1971-06-30,"Dayton, OH"
2113,Georgia,,CIRCLE,GA,13:00,1971-07-01,"Georgia, GA"
2114,Morgantown-Martinsville area,,OTHER,IN,20:00,1971-07-01,"Morgantown-Martinsville area, IN"
2115,Santa Barbara,,,CA,19:00,1971-07-04,"Santa Barbara, CA"
2116,Liberal,,CIGAR,KS,22:00,1971-07-04,"Liberal, KS"
2117,Colorado River Highway,,CHEVRON,AZ,03:00,1971-07-05,"Colorado River Highway, AZ"
2118,New Orleans,,OVAL,LA,14:00,1971-07-10,"New Orleans, LA"
2119,St. Cloud,,LIGHT,MN,18:00,1971-07-10,"St. Cloud, MN"
2120,Danese,,,WV,22:00,1971-07-14,"Danese, WV"
2121,Genoa,,CIGAR,WV,12:00,1971-07-15,"Genoa, WV"
2122,Big Rapids,,OVAL,MI,18:00,1971-07-15,"Big Rapids, MI"
2123,Steelville,,LIGHT,MO,20:00,1971-07-15,"Steelville, MO"
2124,Hancock,,FORMATION,MI,22:00,1971-07-15,"Hancock, MI"
2125,Wauwatosa,,DISK,WI,21:00,1971-07-17,"Wauwatosa, WI"
2126,Kelso,,TRIANGLE,WA,04:00,1971-07-20,"Kelso, WA"
2127,Manchester,,LIGHT,CT,21:00,1971-07-20,"Manchester, CT"
2128,New Goshen,,DIAMOND,IN,22:00,1971-07-20,"New Goshen, IN"
2129,Tucson,,TEARDROP,AZ,00:15,1971-07-22,"Tucson, AZ"
2130,Allentown,,LIGHT,PA,00:00,1971-07-25,"Allentown, PA"
2131,Puyallup,,CIRCLE,WA,23:40,1971-07-25,"Puyallup, WA"
2132,Bolivar,ORANGE,CIGAR,MO,18:00,1971-07-30,"Bolivar, MO"
2133,Lamoille,,CIGAR,NV,15:00,1971-08-01,"Lamoille, NV"
2134,Goldsmith,,LIGHT,TX,20:00,1971-08-01,"Goldsmith, TX"
2135,Fredonia,,,AL,21:00,1971-08-01,"Fredonia, AL"
2136,Kauai,,DISK,HI,20:00,1971-08-02,"Kauai, HI"
2137,Holt,,DISK,CA,23:00,1971-08-09,"Holt, CA"
2138,Corning,,DISK,NY,22:00,1971-08-10,"Corning, NY"
2139,Fallsburg,,CROSS,NY,13:00,1971-08-11,"Fallsburg, NY"
2140,Beavercreek,,LIGHT,OH,19:00,1971-08-15,"Beavercreek, OH"
2141,Woodland,,LIGHT,WA,23:00,1971-08-15,"Woodland, WA"
2142,Nuevo Laredo,,FORMATION,TX,18:30,1971-08-17,"Nuevo Laredo, TX"
2143,Quonsett Pt. NAS,,OTHER,RI,22:15,1971-08-17,"Quonsett Pt. NAS, RI"
2144,Oakland,,DISK,CA,00:00,1971-08-19,"Oakland, CA"
